batch_id,declaration_no,import_date,total_quantity,total_landed_cost_rub,sku_lines,sku_qty,sku_derived_sum_rub,rounding_gap_rub
BATCH-01,10013160/270824/3261814,2024-08-27,16000,4160956.47,3,16000,4161000.00,43.53
BATCH-02,10013160/250225/5083526,2025-02-25,10200,2360097.06,1,10200,2360076.00,-21.06
BATCH-03,10013160/250225/5083193,2025-02-25,9800,1617236.27,2,9800,1617264.00,27.73
BATCH-04,10132160/280825/5101312,2025-08-28,10012,1313764.87,2,10012,1313764.96,0.09
BATCH-05,10132160/311225/5304850,2025-12-31,15000,2574511.57,3,15000,2574450.00,-61.57
BATCH-06,10132160/190126/5020158,2026-01-19,12000,1599518.39,2,12000,1599540.00,21.61
BATCH-07,10132160/260326/5122067,2026-03-26,9829,1690236.50,2,9829,1690194.84,-41.66
TOTAL,,,82841,15316321.13,15,82841,15316289.80,-31.33
