ozon_sku,offer_id,internal_sku,bundle_name,posting_number,order_id,realized_date,qty,bom_effective_from_before,gap_days,components,component_cogs_available_on_date,reason_cogs_null,resolved_in_closeout
3735183318,910330849,EVT-SET-MOIST-TONIC-SERUM,Набор для лица увлажняющий сыворотка и тоник,0239382563-0040-1,34994504131,2026-04-11,1,2026-07-20,100,"EVT-FS-MOIST-30 (130.81), EVT-FT-MOIST-150 (179.46)",YES_BOTH,BOM_INTERVAL_STARTS_AFTER_SALE,YES_BOM_EXTENDED_TO_2026-03-24
3735183318,910330849,EVT-SET-MOIST-TONIC-SERUM,Набор для лица увлажняющий сыворотка и тоник,60087133-0078-2,34752917005,2026-04-14,1,2026-07-20,97,"EVT-FS-MOIST-30 (130.81), EVT-FT-MOIST-150 (179.46)",YES_BOTH,BOM_INTERVAL_STARTS_AFTER_SALE,YES_BOM_EXTENDED_TO_2026-03-24
3735183318,910330849,EVT-SET-MOIST-TONIC-SERUM,Набор для лица увлажняющий сыворотка и тоник,0155084530-0081-1,35354121778,2026-04-15,1,2026-07-20,96,"EVT-FS-MOIST-30 (130.81), EVT-FT-MOIST-150 (179.46)",YES_BOTH,BOM_INTERVAL_STARTS_AFTER_SALE,YES_BOM_EXTENDED_TO_2026-03-24
3735183318,910330849,EVT-SET-MOIST-TONIC-SERUM,Набор для лица увлажняющий сыворотка и тоник,75401477-0069-1,35409892309,2026-04-17,1,2026-07-20,94,"EVT-FS-MOIST-30 (130.81), EVT-FT-MOIST-150 (179.46)",YES_BOTH,BOM_INTERVAL_STARTS_AFTER_SALE,YES_BOM_EXTENDED_TO_2026-03-24
3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,EVETIS Набор anti-acne тоник + сыворотка + крем,31652240-0288-1,35706936544,2026-03-30,1,2026-04-23,24,"EVT-FC-ACNE-50 (131.66), EVT-FS-ACNE-30 (168.00), EVT-FT-ACNE-150 (179.46)",YES_ALL_THREE,BOM_INTERVAL_STARTS_AFTER_SALE,YES_BOM_EXTENDED_TO_2026-03-24
3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,EVETIS Набор anti-acne тоник + сыворотка + крем,07131237-0547-3,35528564197,2026-04-13,1,2026-04-23,10,"EVT-FC-ACNE-50 (131.66), EVT-FS-ACNE-30 (168.00), EVT-FT-ACNE-150 (179.46)",YES_ALL_THREE,BOM_INTERVAL_STARTS_AFTER_SALE,YES_BOM_EXTENDED_TO_2026-03-24
3892345516,930334395,EVT-SET-HAND-CHERRY,EVETIS Набор крем для рук + крем Lost Cherry,0160098811-0846-1,35338692555,2026-04-27,1,2026-05-01,4,"EVT-HC-CHERRY-300 (171.96), EVT-HC-HAND-300 (231.38)",YES_BOTH,BOM_INTERVAL_STARTS_AFTER_SALE,NO_EVIDENCE_PARTIAL_COGS_REMAINS_NULL
