month,internal_sku,product_name,product_type,gross_qty,realized_qty,seller_base_revenue_rub,product_cogs_rub,cogs_status,commission_rub,commission_status,direct_variable_marketplace_costs_rub,other_direct_marketplace_costs_rub,contribution_before_ads_rub,ad_spend_attributed_rub,contribution_after_attributed_ads_rub,margin_before_ads_pct,margin_after_ads_pct,actual_drr_pct,variable_break_even_drr_pct,profitability_status,attribution_level
2026-08-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,28,18,18949,2444.04,COVERED,8045.85,COVERED,1717.9,0,6741.21,2851.53,3889.68,35.5755,20.5271,15.0484,35.5755,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,13,11,11113,1438.91,COVERED,4556.33,COVERED,876.26,0,4241.5,3431.56,809.94,38.167,7.2882,30.8788,38.167,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-FT-ACNE-150,"EVETIS Anti-Acne Face Tonic 150 ml",SINGLE,26,21,20577,3838.49,COVERED,8556.03,COVERED,1943.1,0,6239.38,4971.62,1267.76,30.3221,6.1611,24.1611,30.3221,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-FT-MOIST-150,"EVETIS Moisture Face Tonic 150 ml",SINGLE,18,12,11544,2193.42,COVERED,4733.04,COVERED,1029.89,0,3587.65,2782.02,805.63,31.078,6.9788,24.0993,31.078,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-HC-AMBER-300,"EVETIS Body Cream Amber Vanilla 300 ml",SINGLE,8,7,6702,1226.9,COVERED,2864.31,COVERED,644.64,0,1966.15,1736.03,230.12,29.3368,3.4336,25.9032,29.3368,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-HC-CHERRY-300,"EVETIS Body Cream Lost Cherry 300 ml",SINGLE,14,10,9894,1752.72,COVERED,4056.54,COVERED,1057.78,15,3011.96,3447.37,-435.41,30.4423,-4.4007,34.843,30.4423,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,20,13,10817,3007.94,COVERED,4527.81,COVERED,1204.28,0,2076.97,3231.41,-1154.44,19.201,-10.6725,29.8734,19.201,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-4PC-ACNE,"EVETIS Набор anti-acne полный комплекс (4 средства)",BUNDLE,9,9,27500,5485.68,COVERED,11611.38,COVERED,1087.63,0,9315.31,5131.72,4183.59,33.8739,15.2131,18.6608,33.8739,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-ACNE-POWDER-SERUM-CREAM,"Набор для лица от прыщей и акне",BUNDLE,1,1,2000,426.74,COVERED,820,COVERED,105.65,0,647.61,1126.31,-478.7,32.3805,-23.935,56.3155,32.3805,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-ACNE-TONIC-SERUM,"Набор для лица сыворотка и тоник против АКНЕ",BUNDLE,1,1,1421,318.57,COVERED,582.61,COVERED,121.14,0,398.68,899.4,-500.72,28.0563,-35.2372,63.2935,28.0563,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-CHERRY-AMBER,"EVETIS Набор крем Lost Cherry + крем Amber Vanilla",BUNDLE,4,4,4688,1402.17,COVERED,1922.08,COVERED,366.28,0,997.47,1226.1,-228.63,21.2771,-4.8769,26.154,21.2771,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-HAND-AMBER,"EVETIS Набор крем для рук + крем Amber Vanilla",BUNDLE,3,2,2139,813.3,COVERED,876.99,COVERED,231.71,0,217,216.73,0.27,10.1449,0.0126,10.1323,10.1449,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-HAND-CHERRY,"EVETIS Набор крем для рук + крем Lost Cherry",BUNDLE,7,6,7130,2439.91,COVERED,2004.49,MISSING_SOURCE,873.34,0,1812.26,278.95,1533.31,25.4174,21.505,3.9123,25.4174,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-MOIST-TONIC-SERUM,"Набор для лица увлажняющий сыворотка и тоник",BUNDLE,8,4,4992,1254.38,COVERED,2046.72,COVERED,535.47,0,1155.43,444.7,710.73,23.1456,14.2374,8.9083,23.1456,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-SER-CREAM-ACNE,"EVETIS Набор anti-acne сыворотка + крем для лица",BUNDLE,4,4,4817,1069.76,COVERED,1974.97,COVERED,409.81,0,1362.46,0,1362.46,28.2844,28.2844,0,28.2844,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-08-01,EVT-SET-TON-SER-CREAM-ACNE,"EVETIS Набор anti-acne тоник + сыворотка + крем",BUNDLE,15,9,17724,4052.03,COVERED,7692.98,COVERED,1061.49,15,4902.5,1705.93,3196.57,27.6602,18.0353,9.625,27.6602,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-EP-ENZYME-75,"EVETIS Enzyme Cleansing Powder 75 g",SINGLE,0,0,0,0,COVERED,0,COVERED,8.52,0,-8.52,24,-32.52,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-FC-ACNE-50,"EVETIS Anti-Acne Face Cream 50 ml",SINGLE,2,0,0,0,COVERED,0,COVERED,6.97,0,-6.97,92.17,-99.14,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,1,0,0,0,COVERED,0,COVERED,8.23,0,-8.23,100.81,-109.04,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,1,0,0,0,COVERED,0,COVERED,0,0,0,29.14,-29.14,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-FT-ACNE-150,"EVETIS Anti-Acne Face Tonic 150 ml",SINGLE,3,0,0,0,COVERED,0,COVERED,9.7,0,-9.7,133.14,-142.84,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-FT-MOIST-150,"EVETIS Moisture Face Tonic 150 ml",SINGLE,0,0,0,0,COVERED,0,COVERED,0,0,0,48.45,-48.45,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-HC-AMBER-300,"EVETIS Body Cream Amber Vanilla 300 ml",SINGLE,1,0,0,0,COVERED,0,COVERED,16.56,0,-16.56,0,-16.56,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-HC-CHERRY-300,"EVETIS Body Cream Lost Cherry 300 ml",SINGLE,0,0,0,0,COVERED,0,COVERED,-1.27,15,-13.73,0,-13.73,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,6,0,0,0,COVERED,0,COVERED,8.91,0,-8.91,879.24,-888.15,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-SET-4PC-ACNE,"EVETIS Набор anti-acne полный комплекс (4 средства)",BUNDLE,2,0,0,0,COVERED,0,COVERED,22.89,0,-22.89,596.36,-619.25,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-SET-MOIST-TONIC-SERUM,"Набор для лица увлажняющий сыворотка и тоник",BUNDLE,1,0,0,0,COVERED,0,COVERED,0,0,0,0,0,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2026-09-01,EVT-SET-TON-SER-CREAM-ACNE,"EVETIS Набор anti-acne тоник + сыворотка + крем",BUNDLE,0,0,0,0,COVERED,0,COVERED,13.39,0,-13.39,327.85,-341.24,,,,,INSUFFICIENT_DATA,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
