finance_event_date,posting_number,ozon_sku,internal_sku,buyer_paid_price_rub,seller_base_price_rub,ozon_bonus_rub,ozon_coinvestment_rub,observed_buyer_discount_rub,observed_buyer_discount_pct,invariant_check_rub,spp_semantics
2026-06-29,23627169-0299-1,1997079254,EVT-HC-HAND-300,206.67,556.0,347.26,2.07,349.33,62.83,0.0,NOT_PROVEN
2026-06-29,0133063480-0018-3,3530427102,EVT-FT-ACNE-150,290.48,823.0,529.62,2.9,532.52,64.7,0.0,NOT_PROVEN
2026-06-29,80979825-0257-1,3528293526,EVT-FT-MOIST-150,370.48,872.0,497.82,3.7,501.52,57.51,0.0,NOT_PROVEN
2026-06-30,0107302388-0044-1,3530427102,EVT-FT-ACNE-150,311.13,818.0,506.87,0.0,506.87,61.96,0.0,NOT_PROVEN
2026-07-02,46846601-0863-1,3892410843,EVT-SET-HAND-AMBER,532.08,1261.0,723.6,5.32,728.92,57.8,0.0,NOT_PROVEN
2026-07-03,0105883992-0261-1,3530427102,EVT-FT-ACNE-150,378.3,967.0,584.92,3.78,588.7,60.88,0.0,NOT_PROVEN
2026-07-03,0112076306-0058-1,3530427102,EVT-FT-ACNE-150,347.17,832.0,481.36,3.47,484.83,58.27,0.0,NOT_PROVEN
2026-07-05,46200146-0961-5,3528293526,EVT-FT-MOIST-150,393.23,1161.0,763.84,3.93,767.77,66.13,-0.0,NOT_PROVEN
2026-07-05,0103612839-0407-13,3733452761,EVT-SET-4PC-ACNE,1349.52,2831.0,1467.98,13.5,1481.48,52.33,0.0,NOT_PROVEN
2026-07-05,89909016-0082-1,3892410843,EVT-SET-HAND-AMBER,561.14,1420.0,853.25,5.61,858.86,60.48,0.0,NOT_PROVEN
2026-07-06,52528457-0193-5,3930712640,EVT-HC-AMBER-300,464.21,1230.0,761.15,4.64,765.79,62.26,0.0,NOT_PROVEN
2026-07-06,31782514-0215-5,3892345516,EVT-SET-HAND-CHERRY,755.66,1416.0,660.34,0.0,660.34,46.63,0.0,NOT_PROVEN
2026-07-06,64690053-1227-1,3528293526,EVT-FT-MOIST-150,333.18,975.0,638.49,3.33,641.82,65.83,-0.0,NOT_PROVEN
2026-07-07,89229907-0328-1,3735674506,EVT-SET-TON-SER-CREAM-ACNE,935.3,2110.0,1174.7,0.0,1174.7,55.67,0.0,NOT_PROVEN
2026-07-07,31268801-0056-1,3732641694,EVT-SET-SER-CREAM-ACNE,59.68,1823.0,1762.72,0.6,1763.32,96.73,0.0,NOT_PROVEN
2026-07-07,61540042-0453-1,3528293526,EVT-FT-MOIST-150,333.33,872.0,535.34,3.33,538.67,61.77,-0.0,NOT_PROVEN
2026-07-07,70703101-0467-5,3733452761,EVT-SET-4PC-ACNE,1211.43,2923.0,1699.46,12.11,1711.57,58.56,-0.0,NOT_PROVEN
2026-07-07,0259045069-0011-1,3530427102,EVT-FT-ACNE-150,416.19,1148.0,727.65,4.16,731.81,63.75,0.0,NOT_PROVEN
