created_date,posting_number,order_id,order_number,status,substatus,ozon_sku,offer_id,internal_sku,quantity,price,old_price,total_discount_value,commission_amount,payout,is_cancelled,cancel_reason_id,source_raw_file
2026-06-11,0179415481-0005-1,36669652489,0179415481-0005,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,2430.0,7129.92,4699.92,,1433.7,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-11,62125748-0315-2,36010615812,62125748-0315,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,2430.0,6961.289999999999,4531.289999999999,,1433.7,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-12,0132332862-1284-1,36809797486,0132332862-1284,cancelled,posting_canceled,3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,1,1800.0,5276.200000000001,3476.2000000000003,,0.0,yes,710,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-12,23627169-0299-1,36337181441,23627169-0299,delivered,posting_received,1997079254,252442517,EVT-HC-HAND-300,1,556.0,1739.3200000000002,1183.3200000000002,,328.04,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-12,0132332862-1286-1,36819147486,0132332862-1286,delivered,posting_received,3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,1,1800.0,5340.0,3540.0,,1062.0,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-12,50464486-0153-1,35789181766,50464486-0153,delivered,posting_received,3892345516,930334395,EVT-SET-HAND-CHERRY,1,1200.0,3507.9500000000003,2307.9500000000003,,708.0,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-13,07701255-0521-3,36652820775,07701255-0521,delivered,posting_received,3892518031,593111986,EVT-HC-CHERRY-300,1,1050.0,3206.02,2156.02,,619.5,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-13,0187365339-0020-1,36500526107,0187365339-0020,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,3221.0,9914.95,6693.950000000001,,1900.39,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-14,0176014466-0010-3,35559261154,0176014466-0010,delivered,posting_received,3733452761,868597351,EVT-SET-4PC-ACNE,1,3221.0,9920.67,6699.67,,1900.39,no,,raw/backfill_v1/seller/posting_fbo_202606.json
2026-06-14,0144805755-0262-1,36688503963,0144805755-0262,delivered,posting_received,3530427102,535581675,EVT-FT-ACNE-150,1,1000.0,3203.4300000000003,2203.4300000000003,,0.0,no,,raw/backfill_v1/seller/posting_fbo_202606.json
