date,ozon_sku,seller_price,sale_price,bonus,coinvestment,spp_pct,identity_check
2026-07-18,1997079254,586.0,280.0,303.2,2.8,52.22,0.0
2026-07-18,3543342130,1123.0,519.05,598.76,5.19,53.78,0.0
2026-07-18,3733452761,2841.0,1662.86,1161.51,16.63,41.47,0.0
2026-07-19,1997079254,650.0,369.52,276.78,3.7,43.15,0.0
2026-07-19,2974977988,1021.0,362.29,655.09,3.62,64.52,-0.0
2026-07-19,3735674506,2045.0,1114.29,919.57,11.14,45.51,-0.0
2026-07-19,3735674506,2045.0,920.0,1115.8,9.2,55.01,0.0
2026-07-20,1997079254,586.0,217.89,365.93,2.18,62.82,0.0
2026-07-20,1997079254,586.0,304.25,278.71,3.04,48.08,0.0
2026-07-20,2974977988,1021.0,417.14,599.69,4.17,59.14,0.0
2026-07-20,2974977988,1021.0,352.38,665.1,3.52,65.49,0.0
2026-07-20,3530427102,1109.0,399.81,705.19,4.0,63.95,0.0
2026-07-20,3543342130,1123.0,464.76,653.59,4.65,58.61,0.0
2026-07-21,2974977988,1021.0,352.38,665.1,3.52,65.49,0.0
2026-07-21,3543342130,1123.0,392.38,726.7,3.92,65.06,0.0
2026-07-22,1991772098,845.0,300.95,541.04,3.01,64.38,0.0
2026-07-22,1997079254,928.0,318.1,606.72,3.18,65.72,0.0
2026-07-22,3733947454,1586.0,639.05,940.56,6.39,59.71,0.0
2026-07-23,1997079254,928.0,318.1,606.72,3.18,65.72,0.0
2026-07-23,3733452761,2841.0,1299.05,1528.96,12.99,54.27,0.0
2026-07-23,3892223191,1530.0,1018.1,511.9,0.0,33.46,0.0
2026-07-23,3892518031,1275.0,435.07,835.58,4.35,65.88,0.0
2026-07-24,3733452761,3900.0,1727.62,2155.1,17.28,55.7,0.0
2026-07-25,3530427102,1109.0,520.0,583.8,5.2,53.11,0.0
2026-07-26,1994674912,838.0,457.14,376.29,4.57,45.45,-0.0
2026-07-26,3892518031,1101.0,420.0,676.8,4.2,61.85,0.0
2026-07-27,2974977988,1297.0,529.02,767.98,0.0,59.21,0.0
2026-07-27,3733947454,2216.0,1143.67,1072.33,0.0,48.39,0.0
2026-07-28,1997079254,861.0,330.48,530.52,0.0,61.62,0.0
2026-07-28,3733452761,4101.0,1786.67,2296.46,17.87,56.43,0.0
2026-07-28,3892518031,1101.0,1.0,665.04,434.96,99.91,0.0
2026-07-29,3892518031,1101.0,394.29,702.77,3.94,64.19,0.0
2026-07-30,1991772098,1280.0,449.41,826.1,4.49,64.89,0.0
2026-07-30,3530427102,1640.0,652.71,987.29,0.0,60.2,0.0
2026-07-30,3892518031,1101.0,422.45,674.33,4.22,61.63,0.0
2026-07-30,3892518031,1093.0,398.98,690.03,3.99,63.5,0.0
2026-07-31,1991772098,959.0,327.79,627.93,3.28,65.82,0.0
2026-07-31,3530427102,1128.0,420.55,703.24,4.21,62.72,0.0
2026-07-31,3543342130,1132.0,436.73,690.9,4.37,61.42,0.0
2026-07-31,3892518031,1101.0,386.67,710.46,3.87,64.88,0.0
2026-08-01,1991772098,959.0,328.57,627.14,3.29,65.74,0.0
2026-08-01,2974977988,1297.0,472.64,819.63,4.73,63.56,0.0
2026-08-01,3530427102,1128.0,413.21,710.66,4.13,63.37,0.0
2026-08-01,3530427102,1000.0,374.29,621.97,3.74,62.57,0.0
2026-08-01,3892223191,1203.0,62.08,1140.3,0.62,94.84,0.0
2026-08-02,1997079254,900.0,308.28,588.64,3.08,65.75,0.0
2026-08-03,1997079254,900.0,308.57,588.34,3.09,65.71,-0.0
2026-08-04,1991772098,1280.0,439.05,836.56,4.39,65.7,0.0
2026-08-04,1994674912,838.0,287.62,547.5,2.88,65.68,0.0
2026-08-04,1997079254,900.0,308.57,588.34,3.09,65.71,-0.0
2026-08-04,3733452761,3886.0,1804.76,2063.19,18.05,53.56,0.0
2026-08-04,3892518031,965.0,330.48,631.22,3.3,65.75,0.0
2026-08-05,1991772098,959.0,313.64,642.22,3.14,67.3,0.0
2026-08-05,1991772098,959.0,365.71,593.29,0.0,61.87,0.0
2026-08-05,1994674912,929.0,317.34,608.49,3.17,65.84,0.0
2026-08-05,3530427102,903.0,309.23,590.68,3.09,65.76,0.0
2026-08-05,3530427102,1128.0,478.86,649.14,0.0,57.55,0.0
2026-08-05,3733947454,2141.0,1143.94,997.06,0.0,46.57,0.0
2026-08-05,3892518031,965.0,339.05,622.56,3.39,64.87,0.0
2026-08-06,1994674912,929.0,318.1,607.72,3.18,65.76,0.0
2026-08-06,1997079254,586.0,226.79,359.21,0.0,61.3,0.0
2026-08-06,3528293526,886.0,303.09,579.88,3.03,65.79,0.0
2026-08-06,3528293526,886.0,303.09,579.88,3.03,65.79,0.0
2026-08-06,3530427102,1128.0,426.67,697.06,4.27,62.17,0.0
2026-08-06,3530427102,903.0,309.52,590.38,3.1,65.72,0.0
2026-08-07,1994674912,929.0,318.1,607.72,3.18,65.76,0.0
2026-08-07,2974977988,1297.0,444.76,847.79,4.45,65.71,0.0
2026-08-08,1991772098,953.0,326.67,623.06,3.27,65.72,0.0
2026-08-08,1991772098,915.0,313.33,598.54,3.13,65.76,0.0
2026-08-08,1994674912,847.0,290.48,553.62,2.9,65.7,0.0
2026-08-08,1994674912,929.0,318.1,607.72,3.18,65.76,0.0
2026-08-08,1997079254,900.0,305.66,591.28,3.06,66.04,0.0
2026-08-08,3530427102,950.0,325.71,621.03,3.26,65.71,0.0
2026-08-08,3530427102,950.0,361.9,588.1,0.0,61.91,0.0
2026-08-08,3543342130,930.0,318.29,608.53,3.18,65.78,0.0
2026-08-08,3732641694,1180.0,713.54,459.32,7.14,39.53,0.0
2026-08-08,3735674506,2100.0,1091.08,1008.92,0.0,48.04,0.0
2026-08-08,3892223191,1165.0,450.48,710.02,4.5,61.33,0.0
2026-08-08,3892518031,965.0,330.48,631.22,3.3,65.75,0.0
2026-08-08,3930712640,905.0,308.22,593.7,3.08,65.94,-0.0
2026-08-08,3930712640,898.0,26.96,870.77,0.27,97.0,0.0
2026-08-09,1991772098,959.0,328.57,627.14,3.29,65.74,0.0
2026-08-09,1997079254,819.0,280.95,535.24,2.81,65.7,0.0
2026-08-09,3528293526,950.0,325.71,621.03,3.26,65.71,0.0
2026-08-09,3732641694,1080.0,646.67,426.86,6.47,40.12,0.0
2026-08-09,3892518031,965.0,330.48,631.22,3.3,65.75,0.0
2026-08-09,3892518031,965.0,330.48,631.22,3.3,65.75,0.0
2026-08-10,1994674912,842.0,297.39,541.64,2.97,64.68,0.0
2026-08-10,1994674912,842.0,320.95,517.84,3.21,61.88,0.0
2026-08-10,1997079254,819.0,280.95,535.24,2.81,65.7,0.0
2026-08-10,1997079254,819.0,280.95,535.24,2.81,65.7,0.0
2026-08-10,3530427102,950.0,324.63,622.12,3.25,65.83,0.0
2026-08-10,3530427102,950.0,342.0,604.58,3.42,64.0,0.0
2026-08-10,3733452761,2900.0,1327.62,1559.1,13.28,54.22,0.0
2026-08-10,3735674506,2100.0,878.1,1213.12,8.78,58.19,0.0
2026-08-10,3930712640,905.0,29.04,875.96,0.0,96.79,0.0
2026-08-11,1991772098,953.0,357.14,592.29,3.57,62.52,0.0
2026-08-11,3528293526,950.0,321.13,625.66,3.21,66.2,0.0
2026-08-11,3528293526,950.0,324.94,621.81,3.25,65.8,0.0
2026-08-11,3528293526,950.0,325.71,621.03,3.26,65.71,0.0
2026-08-11,3892345516,1161.0,550.0,605.5,5.5,52.63,0.0
2026-08-12,1991772098,953.0,326.67,623.06,3.27,65.72,0.0
2026-08-12,1997079254,819.0,288.57,527.54,2.89,64.77,0.0
2026-08-12,2974977988,990.0,339.05,647.56,3.39,65.75,0.0
2026-08-12,3530427102,950.0,325.71,621.03,3.26,65.71,0.0
2026-08-12,3892410843,1000.0,358.19,638.23,3.58,64.18,-0.0
2026-08-13,1991772098,953.0,372.38,576.9,3.72,60.93,0.0
2026-08-13,1997079254,819.0,285.71,530.43,2.86,65.11,0.0
2026-08-14,2974977988,990.0,483.81,501.35,4.84,51.13,-0.0
2026-08-14,2974977988,990.0,417.14,568.69,4.17,57.86,0.0
2026-08-14,3528293526,886.0,303.52,579.44,3.04,65.74,0.0
2026-08-14,3530427102,950.0,439.44,506.17,4.39,53.74,0.0
2026-08-14,3530427102,903.0,309.52,590.38,3.1,65.72,0.0
2026-08-14,3733452761,2900.0,1501.89,1383.09,15.02,48.21,0.0
2026-08-15,1991772098,947.0,386.67,556.46,3.87,59.17,-0.0
2026-08-15,1994674912,1208.0,485.71,717.43,4.86,59.79,0.0
2026-08-15,3735674506,1950.0,93.6,1855.46,0.94,95.2,0.0
2026-08-15,3892223191,1185.0,499.05,680.96,4.99,57.89,0.0
2026-08-15,3892518031,1001.0,409.09,587.82,4.09,59.13,-0.0
2026-08-16,3733452761,2982.0,1506.67,1460.26,15.07,49.47,-0.0
2026-08-17,1994674912,842.0,347.62,490.9,3.48,58.71,0.0
2026-08-17,1994674912,1208.0,553.09,649.38,5.53,54.21,0.0
2026-08-17,1994674912,1208.0,437.14,766.49,4.37,63.81,0.0
2026-08-17,3530427102,998.0,470.83,522.46,4.71,52.82,0.0
2026-08-17,3543342130,1009.0,387.62,621.38,0.0,61.58,0.0
2026-08-17,3543342130,884.0,352.49,527.99,3.52,60.13,0.0
2026-08-17,3732641694,1150.0,712.8,430.07,7.13,38.02,0.0
