date,campaign_id,campaign_group,campaign_state_current,expense_rub,bonus_expense_rub,subscription_expense_rub,impressions,clicks,orders,revenue,ctr,cpc,drr_api_if_present,source_raw_file
2026-06-06,27307535,EVETIS_CPC_LEGACY,ARCHIVED,75.99,0.0,0.0,635,14,1,530.0,2.2047,5.4279,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260606.csv
2026-06-06,27307598,EVETIS_CPC_LEGACY,ARCHIVED,101.01,0.0,0.0,547,22,0,0.0,4.0219,4.5914,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260606.csv
2026-06-06,27443733,EVETIS_CPC_LEGACY,ARCHIVED,123.27,0.0,0.0,954,22,0,0.0,2.3061,5.6032,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260606.csv
2026-06-07,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,64,2,0,0.0,3.125,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-07,27251978,EVETIS_CPC_LEGACY,ARCHIVED,92.16,0.0,0.0,617,22,0,0.0,3.5656,4.1891,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260607.csv
2026-06-07,27307535,EVETIS_CPC_LEGACY,ARCHIVED,126.84,0.0,0.0,963,21,0,0.0,2.1807,6.04,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260607.csv
2026-06-07,27307598,EVETIS_CPC_LEGACY,ARCHIVED,61.54,0.0,0.0,399,14,0,0.0,3.5088,4.3957,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260607.csv
2026-06-07,27443733,EVETIS_CPC_LEGACY,ARCHIVED,168.17,0.0,0.0,1206,27,0,0.0,2.2388,6.2285,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260607.csv
2026-06-08,14503166,SEARCH_PROMO,RUNNING,168.0,0.0,0.0,60,0,1,1680.0,0.0,NOT_APPLICABLE,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260608.csv
2026-06-08,27251978,EVETIS_CPC_LEGACY,ARCHIVED,84.95,0.0,0.0,566,18,0,0.0,3.1802,4.7194,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260608.csv
2026-06-08,27307535,EVETIS_CPC_LEGACY,ARCHIVED,61.93,0.0,0.0,884,13,0,0.0,1.4706,4.7638,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260608.csv
2026-06-08,27307598,EVETIS_CPC_LEGACY,ARCHIVED,28.47,0.0,0.0,186,7,0,0.0,3.7634,4.0671,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260608.csv
2026-06-08,27443733,EVETIS_CPC_LEGACY,ARCHIVED,131.2,0.0,0.0,1247,28,1,1680.0,2.2454,4.6857,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260608.csv
2026-06-09,14503166,SEARCH_PROMO,RUNNING,163.0,0.0,0.0,91,0,1,1630.0,0.0,NOT_APPLICABLE,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260609.csv
2026-06-09,27251978,EVETIS_CPC_LEGACY,ARCHIVED,111.13,0.0,0.0,569,23,2,2467.0,4.0422,4.8317,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260609.csv
2026-06-09,27307535,EVETIS_CPC_LEGACY,ARCHIVED,58.95,0.0,0.0,581,7,0,0.0,1.2048,8.4214,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260609.csv
2026-06-09,27307598,EVETIS_CPC_LEGACY,ARCHIVED,19.84,0.0,0.0,170,6,0,0.0,3.5294,3.3067,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260609.csv
2026-06-09,27443733,EVETIS_CPC_LEGACY,ARCHIVED,159.4,0.0,0.0,1645,30,0,0.0,1.8237,5.3133,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260609.csv
2026-06-10,14503166,SEARCH_PROMO,RUNNING,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,157,5,0,0.0,3.1847,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-10,27251978,EVETIS_CPC_LEGACY,ARCHIVED,49.79,0.0,0.0,528,13,0,0.0,2.4621,3.83,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260610.csv
2026-06-10,27307535,EVETIS_CPC_LEGACY,ARCHIVED,102.7,0.0,0.0,693,12,0,0.0,1.7316,8.5583,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260610.csv
