date,campaign_id,campaign_group,campaign_state,expense_rub,bonus_expense_rub,subscription_expense_rub,total_performance_expense_rub
2026-08-28,32158176,EVETIS_CPC_CORE,RUNNING,36.56,0.0,0.0,36.56
2026-08-28,32157965,EVETIS_CPC_CORE,RUNNING,38.3,0.0,0.0,38.3
2026-08-28,33703975,EVETIS_CPC_CORE,RUNNING,194.25,0.0,0.0,194.25
2026-08-28,33678288,EVETIS_CPC_CORE,RUNNING,343.1,0.0,0.0,343.1
2026-08-28,33678192,EVETIS_CPC_CORE,RUNNING,22.08,0.0,0.0,22.08
2026-08-28,32157919,EVETIS_CPC_CORE,RUNNING,246.2,0.0,0.0,246.2
2026-08-28,32157891,EVETIS_CPC_CORE,RUNNING,35.08,0.0,0.0,35.08
2026-08-28,32157947,EVETIS_CPC_CORE,RUNNING,99.3,0.0,0.0,99.3
2026-08-28,32157988,EVETIS_CPC_CORE,RUNNING,584.13,0.0,0.0,584.13
2026-08-28,SUM_ALL_CPC,EVETIS_CPC_CORE,—,1599.0,0.0,0.0,1599.0
