date,marketing_cost_type,campaign_id,ozon_sku,offer_id,internal_sku,cash_cost_rub,product_cogs_cost_rub,total_marketing_cost_rub,evidence_status,primary_source,finance_type_id,source_raw_file
2026-06-06,CPC_MEDIA,27307598,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,101.01,NOT_APPLICABLE,101.01,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260606.json
2026-06-06,CPC_MEDIA,27443733,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,123.27,NOT_APPLICABLE,123.27,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260606.json
2026-06-07,CPC_MEDIA,27251978,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,92.16,NOT_APPLICABLE,92.16,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260607.json
2026-06-07,CPC_MEDIA,27307535,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,126.84,NOT_APPLICABLE,126.84,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260607.json
2026-06-07,CPC_MEDIA,27307598,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,61.54,NOT_APPLICABLE,61.54,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260607.json
2026-06-07,CPC_MEDIA,27443733,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,168.17,NOT_APPLICABLE,168.17,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260607.json
2026-06-08,CPC_MEDIA,27251978,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,84.95,NOT_APPLICABLE,84.95,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260608.json
2026-06-08,CPC_MEDIA,27307535,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,61.93,NOT_APPLICABLE,61.93,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260608.json
2026-06-08,CPC_MEDIA,27307598,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,28.47,NOT_APPLICABLE,28.47,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260608.json
2026-06-08,CPC_MEDIA,27443733,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,131.2,NOT_APPLICABLE,131.2,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260608.json
2026-06-08,SEARCH_PROMO_CPO,14503166,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,168.0,NOT_APPLICABLE,168.0,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,54,raw/backfill_v1/finance/accrual_by_day_20260608.json
2026-06-09,CPC_MEDIA,27251978,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,111.13,NOT_APPLICABLE,111.13,CONFIRMED_SPEND,Seller API /v1/finance/accrual/by-day,41,raw/backfill_v1/finance/accrual_by_day_20260609.json
